  57 TAZ
 144 NTI
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.6   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.6   6.909
  1 1.00    0.00     8.6   6.909
  1 1.00    0.00     8.6   6.909
  1 1.00    0.00     8.7   6.909
  1 1.00    0.00     8.8   6.909
  1 1.00    0.00     8.9   6.909
  1 1.00    0.00     9.1   6.909
  1 1.00    0.00     9.2   6.909
  1 1.00    0.00     9.3   6.909
  1 1.00    0.00     9.5   6.909
  1 1.00    0.00    10.3   7.139
  1 1.00    0.00     9.6   6.909
  1 1.00    0.00     9.6   6.909
  1 1.00    0.00    10.2   7.139
  1 1.00    0.00     9.4   6.909
  1 1.00    0.00     9.8   6.909
  1 1.00    0.00     9.8   6.909
  1 1.00    0.00     9.9   6.909
  1 1.00    0.00    10.5   7.619
  1 1.00    0.00    10.4   6.909
  1 1.00    0.00    10.4   7.139
  1 1.00    0.00    10.2   6.909
  1 1.00    0.00    10.3   6.909
  1 1.00    0.00    10.8   6.999
  1 1.00    0.00    10.9   6.999
  1 1.00    0.00    10.5   6.969
  1 1.00    0.00    11.0   6.909
  1 1.00    0.00    10.8   6.969
  1 1.00    0.00    10.9   7.619
  1 1.00    0.00    10.8   7.149
  1 1.00    0.00    10.7   7.619
  1 1.00    0.00     9.7   6.909
  1 1.00    0.00     9.7   6.909
  1 1.00    0.00    10.0   6.909
  1 1.00    0.00    10.2   7.619
  1 1.00    0.00     9.0   6.909
  1 1.00    0.00     9.0   6.909
  1 1.00    0.00     9.2   6.909
  1 1.00    0.00     9.4   6.909
  1 1.00    0.00     9.3   6.909
  1 1.00    0.00     9.7   7.149
  1 1.00    0.00     9.6   6.909
  1 1.00    0.00     9.3   6.909
  1 1.00    0.00     9.6   6.909
  1 1.00    0.00     9.4   6.909
  1 1.00    0.00     9.4   6.909
  1 1.00    0.00     9.7   6.909
  1 1.00    0.00     9.5   6.909
  1 1.00    0.00     9.5   6.909
  1 1.00    0.00    10.2   6.909
  1 1.00    0.00     9.3   6.909
  1 1.00    0.00     9.7   6.909
  1 1.00    0.00     9.6   6.909
  1 1.00    0.00     9.5   6.909
  1 1.00    0.00     9.9   6.909
  1 1.00    0.00    11.0   6.999
  1 1.00    0.00    10.4   7.239
  1 1.00    0.00    10.9   7.149
  1 1.00    0.00    10.4   6.909
  1 1.00    0.00    11.7   7.139
  1 1.00    0.00    11.0   6.909
  1 1.00    0.00    11.8   7.619
  1 1.00    0.00    11.3   6.909
  1 1.00    0.00    11.6   6.909
  1 1.00    0.00    12.0   7.762
  1 1.00    0.00    11.9   7.522
  1 1.00    0.00    11.3   7.522
  1 1.00    0.00    13.3   7.522
  1 1.00    0.00    13.7   7.619
  1 1.00    0.00    12.3   7.619
  1 1.00    0.00    11.0   7.149
  1 1.00    0.00    11.0   6.909
  1 1.00    0.00    12.1   7.388
  1 1.00    0.00    11.3   7.149
  1 1.00    0.00    11.3   7.619
  1 1.00    0.00    11.5   7.619
  1 1.00    0.00    12.4   8.146
  1 1.00    0.00    12.1   7.619
  1 1.00    0.00    12.1   8.146
  1 1.00    0.00    11.1   7.619
  1 1.00    0.00    11.1   7.619
  1 1.00    0.00    11.2   7.619
  1 1.00    0.00    10.8   7.619
  1 1.00    0.00    10.9   7.619
  1 1.00    0.00    10.6   7.619
  1 1.00    0.00    10.5   7.619
  1 1.00    0.00    10.5   7.522
  1 1.00    0.00    10.3   7.619
  1 1.00    0.00    10.2   7.619
  1 1.00    0.00    10.0   7.522
  1 1.00    0.00    10.1   7.522
  1 1.00    0.00     9.9   7.522
  1 1.00    0.00     9.9   7.522
  1 1.00    0.00     9.7   7.522
  1 1.00    0.00     9.7   7.522
  1 1.00    0.00     9.6   7.522
  1 1.00    0.00     9.6   7.522
  1 1.00    0.00     9.6   7.522
  1 1.00    0.00     9.6   7.522
  1 1.00    0.00     9.5   7.522
  1 1.00    0.00     9.5   7.522
  1 1.00    0.00     9.6   7.522
  1 1.00    0.00     9.5   7.522
  1 1.00    0.00     9.4   7.522
  1 1.00    0.00     9.5   7.522
  1 1.00    0.00     9.3   6.909
  1 1.00    0.00     9.4   7.522
  1 1.00    0.00     9.4   7.522
  1 1.00    0.00     9.3   6.909
  1 1.00    0.00     9.4   7.522
  1 1.00    0.00     9.3   7.522
  1 1.00    0.00     9.4   7.522
  1 1.00    0.00     9.2   7.522
  1 1.00    0.00     9.3   7.522
  1 1.00    0.00     8.9   7.479
  1 1.00    0.00     8.6   7.239
  1 1.00    0.00     8.3   6.909
  1 1.00    0.00     8.3   6.909
  1 1.00    0.00     8.3   6.909
  1 1.00    0.00     8.5   7.239
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.7   7.239
  1 1.00    0.00     8.5   7.239
  1 1.00    0.00     8.3   6.909
  1 1.00    0.00     8.8   7.479
  1 1.00    0.00     8.5   7.239
  1 1.00    0.00     9.1   7.522
