hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver,TripStartTime,TripActivityTime
831166,0,-1,1,discretionary,discretionary,Home,7,0,0,1,0,0,26,7,4,7,JOINT_NON_MANDATORY,0,0,2,1,0,0,-1,858,29
1972425,0,-1,0,discretionary,Home,discretionary,1,0,0,2,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,1000,98
1972425,0,-1,1,discretionary,discretionary,Home,2,0,0,1,0,0,34,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,1099,340
2101369,0,-1,0,maintenance,Home,maintenance,1,0,0,2,0,0,14,8,4,8,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,508,35
2101369,0,-1,1,maintenance,maintenance,Home,2,0,0,1,0,0,16,8,4,8,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,563,5
1588487,0,-1,0,discretionary,Home,discretionary,1,0,0,13,0,0,29,7,2,7,JOINT_NON_MANDATORY,0,0,1,4,0,0,-1,943,67
1588487,0,-1,1,discretionary,discretionary,Home,13,0,0,1,0,0,32,7,2,7,JOINT_NON_MANDATORY,0,0,4,1,0,0,-1,1021,408
583457,0,-1,0,eatingout,Home,eatingout,1,0,0,61,0,0,28,3,2,3,JOINT_NON_MANDATORY,0,0,1,16,0,0,1,908,214
583457,0,-1,1,eatingout,eatingout,Home,61,0,0,1,0,0,35,3,2,3,JOINT_NON_MANDATORY,0,0,16,1,0,0,1,1131,302
971888,0,-1,0,maintenance,Home,maintenance,1,0,0,62,0,0,28,5,5,5,JOINT_NON_MANDATORY,0,0,1,16,0,0,1,906,160
971888,0,-1,1,maintenance,maintenance,Home,62,0,0,1,0,0,33,5,5,5,JOINT_NON_MANDATORY,0,0,16,1,0,0,1,1076,356
2211899,0,-1,0,shop,Home,shop,1,0,0,5,0,0,36,5,4,5,JOINT_NON_MANDATORY,0,0,1,2,0,0,1,1147,87
2211899,0,-1,1,shop,shop,Home,5,0,0,1,0,0,39,5,4,5,JOINT_NON_MANDATORY,0,0,2,1,0,0,1,1236,203
241383,0,-1,0,shop,Home,shop,1,0,0,62,0,0,13,3,2,3,JOINT_NON_MANDATORY,0,0,1,16,0,0,1,478,89
241383,0,-1,1,shop,shop,Home,62,0,0,1,0,0,17,3,2,3,JOINT_NON_MANDATORY,0,0,16,1,0,0,1,574,857
867806,0,-1,0,maintenance,Home,maintenance,1,0,0,18,0,0,4,5,4,5,JOINT_NON_MANDATORY,0,0,1,5,0,0,1,195,9
867806,0,-1,1,maintenance,maintenance,Home,18,0,0,1,0,0,4,5,4,5,JOINT_NON_MANDATORY,0,0,5,1,0,0,1,207,77
1257223,0,-1,0,maintenance,Home,maintenance,1,0,0,45,0,0,14,10,3,10,JOINT_NON_MANDATORY,60231,61442,1,12,0,0,-1,451,10
1257223,0,-1,1,maintenance,maintenance,Home,45,0,0,1,0,0,17,10,3,10,JOINT_NON_MANDATORY,60275,60231,12,1,0,0,-1,530,5
1972432,0,-1,0,shop,Home,shop,1,0,0,2,0,0,25,5,3,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,838,17
1972432,0,-1,1,shop,shop,Home,2,0,0,1,0,0,26,5,3,5,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,856,583
1972432,1,-1,0,shop,Home,shop,1,0,0,1,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,876,9
1972432,1,-1,1,shop,shop,Home,1,0,0,1,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,886,196
1737986,0,-1,0,discretionary,Home,discretionary,1,0,0,6,0,0,4,5,3,5,JOINT_NON_MANDATORY,0,0,1,2,0,0,5,197,58
1737986,0,-1,1,discretionary,discretionary,Home,6,0,0,1,0,0,6,5,3,5,JOINT_NON_MANDATORY,0,0,2,1,0,0,5,256,170
241402,0,-1,0,eatingout,Home,eatingout,1,0,0,75,0,0,26,3,2,3,JOINT_NON_MANDATORY,0,0,1,19,0,0,1,850,117
241402,0,-1,1,eatingout,eatingout,Home,75,0,0,1,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,19,1,0,0,1,977,451
2920675,0,-1,0,visiting,Home,visiting,1,0,0,28,0,0,25,3,2,3,JOINT_NON_MANDATORY,0,0,1,7,0,0,1,834,188
