hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver
409870,0,-1,1,discretionary,discretionary,Home,5,0,0,67,0,0,39,5,3,5,JOINT_NON_MANDATORY,0,0,2,17,0,0,1
3282164,0,-1,0,maintenance,Home,maintenance,67,0,0,55,0,0,16,3,2,3,JOINT_NON_MANDATORY,0,0,17,14,0,0,1
3282164,0,-1,1,maintenance,maintenance,Home,55,0,0,67,0,0,16,3,2,3,JOINT_NON_MANDATORY,0,0,14,17,0,0,1
647121,0,-1,0,maintenance,Home,maintenance,67,0,0,7,0,0,12,3,2,3,JOINT_NON_MANDATORY,0,0,17,2,0,0,1
647121,0,-1,1,maintenance,maintenance,Home,7,0,0,67,0,0,15,3,2,3,JOINT_NON_MANDATORY,0,0,2,17,0,0,1
3440769,0,-1,0,shop,Home,shop,67,0,0,45,0,0,26,3,2,3,JOINT_NON_MANDATORY,0,0,17,12,0,0,1
3440769,0,-1,1,shop,shop,Home,45,0,0,67,0,0,28,3,2,3,JOINT_NON_MANDATORY,0,0,12,17,0,0,1
2104648,0,-1,0,shop,Home,shop,67,0,0,72,0,0,26,7,2,7,JOINT_NON_MANDATORY,0,0,17,18,0,0,-1
2104648,0,-1,1,shop,shop,Home,72,0,0,67,0,0,28,7,2,7,JOINT_NON_MANDATORY,0,0,18,17,0,0,-1
1266854,0,-1,0,discretionary,Home,discretionary,68,0,0,41,0,0,24,3,2,3,JOINT_NON_MANDATORY,0,0,17,11,0,0,2
1266854,0,-1,1,discretionary,discretionary,Home,41,0,0,68,0,0,36,3,2,3,JOINT_NON_MANDATORY,0,0,11,17,0,0,2
1266854,1,-1,0,visiting,Home,visiting,68,0,0,33,0,0,17,3,2,3,JOINT_NON_MANDATORY,0,0,17,9,0,0,2
1266854,1,-1,1,visiting,visiting,Home,33,0,0,68,0,0,17,3,2,3,JOINT_NON_MANDATORY,0,0,9,17,0,0,2
2238680,0,-1,0,discretionary,Home,discretionary,68,0,0,11,0,0,22,5,5,5,JOINT_NON_MANDATORY,0,0,17,3,0,0,1
2238680,0,-1,1,discretionary,discretionary,Home,11,0,0,68,0,0,27,5,5,5,JOINT_NON_MANDATORY,0,0,3,17,0,0,1
1844929,0,-1,0,eatingout,Home,eatingout,68,0,0,69,0,0,28,3,2,3,JOINT_NON_MANDATORY,0,0,17,18,0,0,2
1844929,0,-1,1,eatingout,eatingout,Home,69,0,0,68,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,18,17,0,0,2
3430449,0,-1,0,shop,Home,shop,68,0,0,62,0,0,12,3,2,3,JOINT_NON_MANDATORY,0,0,17,16,0,0,2
3430449,0,-1,1,shop,shop,Home,62,0,0,68,0,0,12,3,2,3,JOINT_NON_MANDATORY,0,0,16,17,0,0,2
2212493,0,-1,0,shop,Home,shop,68,0,0,71,0,0,26,7,4,7,JOINT_NON_MANDATORY,0,0,17,18,0,0,-1
2212493,0,-1,1,shop,shop,Home,71,0,0,68,0,0,31,7,4,7,JOINT_NON_MANDATORY,0,0,18,17,0,0,-1
365338,0,-1,0,maintenance,Home,maintenance,68,0,0,71,0,0,26,5,4,5,JOINT_NON_MANDATORY,0,0,17,18,0,0,1
365338,0,-1,1,maintenance,maintenance,Home,71,0,0,68,0,0,29,5,4,5,JOINT_NON_MANDATORY,0,0,18,17,0,0,1
365338,1,-1,0,maintenance,Home,maintenance,68,0,0,61,0,0,33,5,4,5,JOINT_NON_MANDATORY,0,0,17,16,0,0,2
365338,1,-1,1,maintenance,maintenance,Home,61,0,0,68,0,0,37,5,4,5,JOINT_NON_MANDATORY,0,0,16,17,0,0,2
3457378,0,-1,0,shop,Home,shop,68,0,0,76,0,0,24,7,3,7,JOINT_NON_MANDATORY,0,0,17,19,0,0,-1
3457378,0,-1,1,shop,shop,Home,76,0,0,68,0,0,28,7,3,7,JOINT_NON_MANDATORY,0,0,19,17,0,0,-1
242309,0,-1,0,shop,Home,shop,68,0,0,55,0,0,26,5,3,10,JOINT_NON_MANDATORY,0,0,17,14,0,0,-1
242309,0,-1,1,shop,shop,Home,55,0,0,68,0,0,28,5,3,10,JOINT_NON_MANDATORY,0,0,14,17,0,0,-1
3025660,0,-1,0,discretionary,Home,discretionary,68,0,0,20,0,0,33,3,2,3,JOINT_NON_MANDATORY,0,0,17,5,0,0,1
3025660,0,-1,1,discretionary,discretionary,Home,20,0,0,68,0,0,37,3,2,3,JOINT_NON_MANDATORY,0,0,5,17,0,0,1
2238691,0,-1,0,discretionary,Home,discretionary,68,0,0,79,0,0,30,5,5,5,JOINT_NON_MANDATORY,0,0,17,20,0,0,2
2238691,0,-1,1,discretionary,discretionary,Home,79,0,0,68,0,0,34,5,5,5,JOINT_NON_MANDATORY,0,0,20,17,0,0,2
1945251,0,-1,0,maintenance,Home,maintenance,68,0,0,71,0,0,10,5,2,5,JOINT_NON_MANDATORY,0,0,17,18,0,0,2
1945251,0,-1,1,maintenance,maintenance,Home,71,0,0,68,0,0,16,3,2,5,JOINT_NON_MANDATORY,0,0,18,17,0,0,2
1945251,1,-1,0,discretionary,Home,discretionary,68,0,0,72,0,0,26,3,2,3,JOINT_NON_MANDATORY,0,0,17,18,0,0,2
1945251,1,-1,1,discretionary,discretionary,Home,72,0,0,68,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,18,17,0,0,2
1945253,0,-1,0,shop,Home,shop,68,0,0,67,0,0,19,7,2,7,JOINT_NON_MANDATORY,0,0,17,17,0,0,-1
1945253,0,-1,1,shop,shop,Home,67,0,0,68,0,0,22,7,2,7,JOINT_NON_MANDATORY,0,0,17,17,0,0,-1
3402052,0,-1,0,shop,Home,shop,68,0,0,21,0,0,19,3,2,3,JOINT_NON_MANDATORY,0,0,17,6,0,0,2
3402052,0,-1,1,shop,shop,Home,21,0,0,68,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,6,17,0,0,2
3157196,0,-1,0,visiting,Home,visiting,68,0,0,60,0,0,23,3,2,3,JOINT_NON_MANDATORY,0,0,17,15,0,0,1
3157196,0,-1,1,visiting,visiting,Home,60,0,0,68,0,0,32,3,2,3,JOINT_NON_MANDATORY,0,0,15,17,0,0,1
3157203,0,-1,0,shop,Home,shop,68,0,0,61,0,0,7,3,2,3,JOINT_NON_MANDATORY,0,0,17,16,0,0,1
3157203,0,-1,1,shop,shop,Home,61,0,0,68,0,0,10,3,2,3,JOINT_NON_MANDATORY,0,0,16,17,0,0,1
