person_id	person_index	trip_index  	tripstarttime 	origmaz    	destmaz	trip_park_ride_flag	otran_maz	dtran_maz	a_time	e_time	tr_time
     6646348	       67026	           5	 849.9	           5	          73	           0	           0	           0	     0.0	     0.0	  1440.0
     3764735	       60751	           1	 177.7	          68	           4	           0	          71	           4	    12.8	     0.0	     0.7
     3764735	       60751	           2	 713.1	           4	          68	           0	           0	           0	     0.0	     0.0	  1440.0
     5377913	       72139	           1	 180.1	          78	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     6340755	       21185	           1	 180.7	          24	           5	           0	           0	           0	     0.0	     0.0	  1440.0
     2547257	       64240	           1	 181.1	          71	          62	           0	          71	          72	     0.0	    30.8	     0.1
     2547257	       64240	           2	 563.1	          62	          71	           0	          72	          71	    30.8	     0.0	     0.1
     9135392	       38775	           1	 181.1	          46	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     9135392	       38775	           3	 200.8	          72	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     2118224	       71059	           1	 182.0	          77	          71	           1	           0	           0	     0.0	     0.0	  1440.0
     2118224	       71059	           5	 973.4	          71	          77	           2	          71	          77	     0.0	     0.0	     0.0
     4198336	       35972	           1	 182.4	          42	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     4198336	       35972	           2	 638.8	          71	          42	           0	          68	          36	    12.8	    27.9	     0.3
     7513957	       49293	           1	 183.2	          57	          77	           1	           0	           0	     0.0	     0.0	  1440.0
     7513957	       49293	           2	 740.8	          77	          57	           2	          77	          71	     0.0	     0.0	     0.0
     6555876	       41511	           1	 183.5	          49	           5	           1	           0	           0	     0.0	     0.0	  1440.0
     6555876	       41511	           2	 196.3	           5	          49	           2	           4	           4	    21.1	     0.0	     0.0
     7932399	       50645	           1	 183.7	          58	          19	           0	          24	          34	    28.3	    43.3	     0.0
     9902110	        9007	           3	 183.7	           9	          69	           0	          65	          66	    56.9	     9.8	     0.0
     9902110	        9007	           7	 851.6	          71	           9	           0	          71	           4	     0.0	    39.6	     0.3
     9570136	       63698	           1	 183.8	          71	          33	           0	          71	          34	     0.0	    17.0	     0.2
     9777905	       59926	           1	 183.8	          68	          28	           0	          73	          46	    19.1	    44.2	     0.0
      148748	       66235	           3	 184.2	          73	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     7078643	       73549	           1	 184.6	          79	          70	           0	           0	           0	     0.0	     0.0	  1440.0
     6639672	       36475	           1	 184.6	          43	          45	           0	          45	          45	    41.3	     0.0	     0.0
     6639672	       36475	           2	 853.7	          45	          43	           0	          45	          45	     0.0	    41.3	     0.0
     6350508	       61110	           1	 184.8	          68	          17	           0	          68	           4	     0.0	    18.7	     0.2
     6350508	       61110	           2	 820.2	          17	          68	           0	           0	           0	     0.0	     0.0	  1440.0
     4197685	       23938	           1	 185.0	          27	          71	           0	           4	          71	    48.7	     0.0	     0.2
     4197685	       23938	           2	 757.6	          71	          27	           0	          71	           4	     0.0	    48.7	     0.4
     1116732	       24190	           3	 185.2	          28	          72	           0	          45	          68	    34.6	    22.3	     0.4
     1116732	       24190	           5	 875.2	          71	          28	           0	           0	           0	     0.0	     0.0	  1440.0
     4799666	       65612	           3	 185.5	          69	           5	           0	          71	           4	    12.0	    21.1	     0.6
     4799666	       65612	           4	 700.4	           5	          70	           0	           0	           0	     0.0	     0.0	  1440.0
     8717166	       35005	           1	 185.6	          41	          72	           1	           0	           0	     0.0	     0.0	  1440.0
     8717166	       35005	           2	 636.8	          72	          41	           2	          72	          72	     0.0	     0.0	     0.0
     2406382	       48466	           1	 185.7	          56	          71	           1	           0	           0	     0.0	     0.0	  1440.0
     2406382	       48466	           2	 204.9	          71	          56	           2	          71	          71	     0.0	     0.0	     0.0
     7076980	       65428	           1	 186.3	          72	          65	           0	           0	           0	     0.0	     0.0	  1440.0
     7076980	       65428	           2	 223.4	          65	          14	           0	          34	           4	    13.6	    15.1	     0.5
     7076980	       65428	           6	 880.5	          17	          72	           0	           0	           0	     0.0	     0.0	  1440.0
     8716455	       15617	           1	 186.3	          15	          77	           0	           4	          77	    27.9	     0.0	     0.3
     8716455	       15617	           2	 974.7	          77	          15	           0	           0	           0	     0.0	     0.0	  1440.0
     6340842	       18700	           1	 186.4	          21	          71	           0	          24	          71	    24.8	     0.0	     0.4
     6340842	       18700	           5	 383.7	          71	          17	           0	          68	           4	    12.8	    18.7	     0.3
     4798488	       53010	           2	 186.7	          71	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     4798488	       53010	           3	 773.7	          71	          27	           0	          68	           4	    12.8	    48.7	     0.4
     9864081	       58102	           1	 186.9	          66	          30	           0	           0	           0	     0.0	     0.0	  1440.0
     9864081	       58102	           5	 821.2	          30	          66	           0	          65	          66	    36.7	     0.0	     0.0
     2116992	       47231	           1	 187.1	          54	          19	           1	           0	           0	     0.0	     0.0	  1440.0
     2116992	       47231	           2	 979.5	          19	          54	           2	           4	           4	    27.6	     0.0	     0.0
     8830547	       57683	           1	 187.3	          66	          28	           0	           0	           0	     0.0	     0.0	  1440.0
     8830547	       57683	           2	 781.2	          28	          66	           0	          45	          66	    34.6	     0.0	     0.1
     7366766	       68333	           1	 188.0	          75	          71	           0	          68	          71	    28.7	     0.0	     0.0
     5377640	       64193	           3	 188.0	          71	           4	           0	          71	           4	     0.0	     0.0	     0.2
     5377640	       64193	           5	 933.1	          20	          77	           0	          36	          77	    35.2	     0.0	     0.8
     5377640	       64193	           6	 974.6	          77	          71	           0	          77	          71	     0.0	     0.0	     0.0
    10036940	       74589	           1	 188.4	          80	          17	           0	          71	           4	    26.3	    18.7	     0.2
    10036940	       74589	           4	 812.1	          17	          79	           0	           4	          71	    18.7	    19.6	     0.7
     2407582	       71680	           1	 188.4	          78	          17	           1	           0	           0	     0.0	     0.0	  1440.0
     2407582	       71680	           2	 786.4	          17	          78	           2	           4	           4	    18.7	     0.0	     0.0
     5193026	        3447	           1	 188.4	           4	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     5193026	        3447	           2	 879.0	          71	           4	           0	          71	           4	     0.0	     0.0	     0.8
      938280	        3143	           1	 188.7	           4	          71	           0	           0	           0	     0.0	     0.0	  1440.0
      938280	        3143	           3	 702.9	          71	           5	           0	          71	           4	     0.0	    21.1	     0.2
     3764883	       64088	           1	 189.7	          71	          17	           0	          71	           4	     0.0	    18.7	     0.2
     9981723	       65562	           1	 190.0	          72	          17	           0	          68	           4	    22.3	    18.7	     0.3
     8717034	       31404	           1	 190.3	          37	          71	           0	          45	          68	    50.2	    12.8	     0.6
     8717034	       31404	           2	 849.7	          71	          37	           0	           0	           0	     0.0	     0.0	  1440.0
      701771	       15249	           1	 190.5	          15	          24	           0	           4	          24	    27.9	     0.0	     0.3
      701771	       15249	           2	 727.5	          24	          15	           0	          24	           4	     0.0	    27.9	     0.4
     3751760	       11758	           1	 190.5	          12	           3	           1	           0	           0	     0.0	     0.0	  1440.0
     3751760	       11758	           4	1054.0	           3	          12	           2	           4	           4	    14.5	     0.0	     0.0
      148776	       71406	           1	 191.4	          77	           5	           0	           0	           0	     0.0	     0.0	  1440.0
      148776	       71406	           2	 646.6	           5	          71	           0	           0	           0	     0.0	     0.0	  1440.0
      148776	       71406	           4	 712.7	          77	          13	           0	          71	           4	     9.7	    19.2	     0.4
      148776	       71406	           5	 722.5	          13	          77	           0	           0	           0	     0.0	     0.0	  1440.0
     8721321	       41891	           1	 191.7	          49	          17	           1	           0	           0	     0.0	     0.0	  1440.0
     8721321	       41891	           2	1260.7	          17	          49	           2	           0	           0	     0.0	     0.0	  1440.0
     4799566	       60779	           1	 191.8	          68	          65	           0	           0	           0	     0.0	     0.0	  1440.0
     2284927	        5925	           1	 192.2	           6	          77	           0	           0	           0	     0.0	     0.0	  1440.0
     2284927	        5925	           5	 647.4	          71	           6	           0	          68	           4	    12.8	    30.4	     0.4
     4558863	       66295	           1	 193.2	          73	          71	           0	          68	          71	    19.4	     0.0	     0.0
     7076809	       62722	           1	 194.2	          70	           3	           0	          71	           4	    18.0	    14.5	     0.3
     7076809	       62722	           2	 195.9	           3	          17	           0	           0	           0	     0.0	     0.0	  1440.0
     7076809	       62722	           3	 427.1	          17	          69	           0	           4	          71	    18.7	    12.0	     1.1
     6645741	       63928	           1	 194.3	          71	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     8391177	       19175	           1	 194.6	          21	          71	           1	           0	           0	     0.0	     0.0	  1440.0
     8391177	       19175	           2	 918.9	          71	          21	           2	          71	          68	     0.0	     0.0	     0.0
     3752913	       27767	           1	 195.2	          32	          71	           0	          34	          71	    34.9	     0.0	     0.1
     6639400	       26498	           1	 195.2	          31	          71	           0	          45	          68	    22.0	    12.8	     0.5
     6639400	       26498	           2	 293.2	          71	          31	           0	          71	          45	     0.0	    22.0	     0.3
     5198110	       69162	           1	 195.4	          76	          17	           0	          68	           4	    19.4	    18.7	     0.2
     5198110	       69162	           4	 887.6	          17	          76	           0	           0	           0	     0.0	     0.0	  1440.0
     6340442	       15908	           1	 195.6	          16	          20	           1	          24	          24	     0.0	    27.5	     0.0
     6340442	       15908	           2	 770.0	          20	          16	           2	          24	          24	    27.5	     0.0	     0.0
     9094343	       63059	           1	 196.2	          71	          33	           0	           0	           0	     0.0	     0.0	  1440.0
     9094343	       63059	           6	 777.1	          79	          71	           0	          77	          71	    11.9	     0.0	     0.0
     6924853	        2869	           1	 196.2	           4	          66	           0	           0	           0	     0.0	     0.0	  1440.0
     6924853	        2869	           2	 229.8	          66	          71	           0	          66	          71	     0.0	     0.0	     0.1
     6924853	        2869	           3	 981.9	          71	           4	           0	           0	           0	     0.0	     0.0	  1440.0
     5377591	       56289	           1	 196.3	          65	          17	           0	           0	           0	     0.0	     0.0	  1440.0
     8967412	       39192	           1	 196.7	          46	          28	           0	          46	          45	     0.0	    34.6	     0.0
     9109179	       57431	           1	 196.9	          66	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     9109179	       57431	           2	 737.0	          71	          40	           0	           0	           0	     0.0	     0.0	  1440.0
     9109179	       57431	           3	 848.1	          40	          66	           0	          47	          67	    55.6	    18.8	     0.5
     6351975	       71082	           1	 197.0	          77	          28	           0	          73	          46	    21.8	    44.2	     0.0
     6351975	       71082	           5	 895.2	          28	          71	           0	          46	          71	    44.2	     0.0	     0.5
     6342108	       39645	           2	 197.2	          45	          71	           0	          36	          68	    15.1	    12.8	     0.3
     6342108	       39645	           3	 245.4	          71	          71	           0	          71	          71	     0.0	     0.0	     0.0
     6342108	       39645	           6	1039.5	          71	          47	           0	           0	           0	     0.0	     0.0	  1440.0
     3765813	       74273	           1	 198.3	          80	           4	           0	          71	           4	    26.3	     0.0	     0.7
     3765813	       74273	           2	 796.4	           4	          66	           0	           0	           0	     0.0	     0.0	  1440.0
     2403094	       37973	           1	 198.3	          45	          71	           1	           0	           0	     0.0	     0.0	  1440.0
     2403094	       37973	           4	 836.0	          71	          45	           2	          71	          68	     0.0	     0.0	     0.0
     7064314	       15737	           2	 199.0	          16	          33	           0	           4	          34	    26.7	    17.0	     0.1
     7078177	       69843	           1	 199.1	          76	           5	           0	          68	           4	    19.4	    21.1	     0.2
     7078177	       69843	           3	 720.3	           2	          76	           0	           0	           0	     0.0	     0.0	  1440.0
     7078177	       69843	           4	 794.6	          76	          79	           0	          77	          77	    19.3	    11.9	     0.0
     2117842	       59380	           2	 199.1	          68	          32	           0	           0	           0	     0.0	     0.0	  1440.0
      145073	        1491	           1	 199.6	           2	          71	           0	           0	           0	     0.0	     0.0	  1440.0
      145073	        1491	           2	 861.0	          71	          15	           0	          71	           4	     0.0	    27.9	     0.2
     9824104	        2710	           1	 199.8	           4	          68	           0	           0	           0	     0.0	     0.0	  1440.0
     9824104	        2710	           6	 760.1	          68	           5	           0	          68	           4	     0.0	    21.1	     0.3
     8722356	       63950	           1	 200.4	          71	          45	           0	          71	          45	     0.0	     0.0	     1.1
     8722356	       63950	           6	 884.4	          19	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     8397795	       57219	           1	 200.4	          65	          17	           0	          65	          65	     0.0	    46.5	     0.0
