hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver,SimulatedTravelTime                                             
2287424,0,-1,0,discretionary,Home,discretionary,74,0,0,34,0,0,28,5,7,5,JOINT_NON_MANDATORY,0,0,19,9,0,0,1,1440.00                                     
2287424,0,-1,1,discretionary,discretionary,Home,34,0,0,74,0,0,34,5,7,5,JOINT_NON_MANDATORY,0,0,9,19,0,0,1,1440.00                                     
2287424,1,-1,0,discretionary,Home,discretionary,74,0,0,76,0,0,2,7,4,7,JOINT_NON_MANDATORY,0,0,19,19,0,0,-1,0.00                                       
2287424,1,-1,1,discretionary,discretionary,Home,76,0,0,74,0,0,4,7,4,7,JOINT_NON_MANDATORY,0,0,19,19,0,0,-1,0.00                                       
1845547,0,-1,0,eatingout,Home,eatingout,74,0,0,37,0,0,29,3,2,3,JOINT_NON_MANDATORY,0,0,19,10,0,0,2,1440.00                                            
1845547,0,-1,1,eatingout,eatingout,Home,37,0,0,74,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,10,19,0,0,2,1440.00                                            
2287427,0,-1,0,shop,Home,shop,74,0,0,55,0,0,32,5,7,5,JOINT_NON_MANDATORY,0,0,19,14,0,0,7,7.40                                                         
2287427,0,-1,1,shop,shop,Home,55,0,0,74,0,0,33,5,7,5,JOINT_NON_MANDATORY,0,0,14,19,0,0,7,5.00                                                         
2287427,1,-1,0,eatingout,Home,eatingout,74,0,0,33,0,0,5,5,6,5,JOINT_NON_MANDATORY,0,0,19,9,0,0,7,3.70                                                 
2287427,1,-1,1,eatingout,eatingout,Home,33,0,0,74,0,0,6,5,6,5,JOINT_NON_MANDATORY,0,0,9,19,0,0,7,2.30                                                 
1975251,0,-1,0,discretionary,Home,discretionary,74,0,0,71,0,0,26,7,3,7,JOINT_NON_MANDATORY,0,0,19,18,0,0,-1,0.00                                      
1975251,0,-1,1,discretionary,discretionary,Home,71,0,0,74,0,0,32,7,3,7,JOINT_NON_MANDATORY,0,0,18,19,0,0,-1,0.00                                      
1975251,1,-1,0,eatingout,Home,eatingout,74,0,0,61,0,0,8,5,3,5,JOINT_NON_MANDATORY,0,0,19,16,0,0,3,5.20                                                
1975251,1,-1,1,eatingout,eatingout,Home,61,0,0,74,0,0,25,5,3,5,JOINT_NON_MANDATORY,0,0,16,19,0,0,3,5.40                                               
3282345,0,-1,0,maintenance,Home,maintenance,74,0,0,71,0,0,9,3,2,3,JOINT_NON_MANDATORY,0,0,19,18,0,0,2,5.80                                            
3282345,0,-1,1,maintenance,maintenance,Home,71,0,0,74,0,0,26,3,2,3,JOINT_NON_MANDATORY,0,0,18,19,0,0,2,2.60                                           
3282345,1,-1,0,shop,Home,shop,74,0,0,78,0,0,27,7,2,7,JOINT_NON_MANDATORY,0,0,19,20,0,0,-1,0.00                                                        
3282345,1,-1,1,shop,shop,Home,78,0,0,74,0,0,30,7,2,7,JOINT_NON_MANDATORY,0,0,20,19,0,0,-1,0.00                                                        
3157507,0,-1,0,shop,Home,shop,74,0,0,55,0,0,12,3,2,3,JOINT_NON_MANDATORY,0,0,19,14,0,0,2,8.00                                                         
3157507,0,-1,1,shop,shop,Home,55,0,0,74,0,0,16,3,2,3,JOINT_NON_MANDATORY,0,0,14,19,0,0,2,5.50                                                         
1787175,0,-1,0,discretionary,Home,discretionary,74,0,0,71,0,0,6,3,2,3,JOINT_NON_MANDATORY,0,0,19,18,0,0,1,6.10                                        
1787175,0,-1,1,discretionary,discretionary,Home,71,0,0,74,0,0,8,3,2,3,JOINT_NON_MANDATORY,0,0,18,19,0,0,1,1.80                                        
1490357,0,-1,0,eatingout,Home,eatingout,74,0,0,45,0,0,25,5,4,5,JOINT_NON_MANDATORY,0,0,19,12,0,0,2,0.30                                               
1490357,0,-1,1,eatingout,eatingout,Home,45,0,0,74,0,0,29,5,4,5,JOINT_NON_MANDATORY,0,0,12,19,0,0,2,0.20                                               
2287447,0,-1,0,maintenance,Home,maintenance,74,0,0,20,0,0,24,5,5,5,JOINT_NON_MANDATORY,0,0,19,5,0,0,1,288.70                                          
2287447,0,-1,1,maintenance,maintenance,Home,20,0,0,74,0,0,27,5,5,5,JOINT_NON_MANDATORY,0,0,5,19,0,0,1,1440.00                                         
2287447,1,-1,0,discretionary,Home,discretionary,74,0,0,68,0,0,10,13,2,13,JOINT_NON_MANDATORY,0,0,19,17,0,0,-1,0.00                                    
2287447,1,-1,1,discretionary,discretionary,Home,68,0,0,74,0,0,16,3,2,13,JOINT_NON_MANDATORY,0,0,17,19,0,0,-1,2.30                                     
2067759,0,-1,0,maintenance,Home,maintenance,74,0,0,45,0,0,1,7,3,7,JOINT_NON_MANDATORY,0,0,19,12,0,0,-1,0.00                                           
2067759,0,-1,1,maintenance,maintenance,Home,45,0,0,74,0,0,7,7,3,7,JOINT_NON_MANDATORY,0,0,12,19,0,0,-1,0.00                                           
152882,0,-1,0,maintenance,Home,maintenance,74,0,0,77,0,0,27,7,2,7,JOINT_NON_MANDATORY,0,0,19,20,0,0,-1,0.00                                           
152882,0,-1,1,maintenance,maintenance,Home,77,0,0,74,0,0,27,7,2,7,JOINT_NON_MANDATORY,0,0,20,19,0,0,-1,0.00                                           
2212598,0,-1,0,shop,Home,shop,74,0,0,55,0,0,26,5,3,5,JOINT_NON_MANDATORY,0,0,19,14,0,0,2,12.10                                                        
2212598,0,-1,1,shop,shop,Home,55,0,0,74,0,0,30,5,3,5,JOINT_NON_MANDATORY,0,0,14,19,0,0,2,5.70                                                         
2212598,1,-1,0,shop,Home,shop,74,0,0,1,0,0,31,5,4,5,JOINT_NON_MANDATORY,0,0,19,1,0,0,2,1440.00                                                        
2212598,1,-1,1,shop,shop,Home,1,0,0,74,0,0,32,5,4,5,JOINT_NON_MANDATORY,0,0,1,19,0,0,2,1440.00                                                        
